stationid,city,temp,rain,wind,direction,date
5,Brasov,1,0.47,56,S,2023-03-12
10,Suceava,-12,0.94,18,SE,2023-03-01
4,Suceava,22,0.69,67,N,2023-03-13
7,Bucuresti,6,0.18,113,SV,2023-03-12
8,Constanta,34,0.93,88,NE,2023-03-01
7,Galati,-1,0.28,74,SV,2023-03-01
6,Bucuresti,13,0.5,75,V,2023-03-13
5,Galati,16,0.03,108,SE,2023-03-25
5,Galati,-15,0.15,134,N,2023-03-10
10,Constanta,28,0.12,73,E,2023-03-01
7,Galati,-10,0.04,100,NE,2023-03-26
8,Suceava,4,0.02,86,SV,2023-03-28
8,Iasi,15,0.05,22,S,2023-03-07
7,Galati,-5,0.59,10,N,2023-03-30
2,Braila,16,0.43,87,NE,2023-03-22
2,Iasi,5,0.86,119,E,2023-03-24
10,Bucuresti,29,0.58,87,N,2023-03-15
9,Constanta,-14,0.73,75,NE,2023-03-03
2,Constanta,28,0.63,105,E,2023-03-05
4,Brasov,34,0.8,42,NV,2023-03-26
3,Cluj-Napoca,23,0.58,54,V,2023-03-02
2,Iasi,-6,0.73,51,N,2023-03-11
2,Galati,8,0.02,136,V,2023-03-21
6,Cluj-Napoca,1,0.98,29,NV,2023-03-09
3,Suceava,27,0.16,139,SE,2023-03-23
9,Brasov,21,0.7,126,NE,2023-03-22
8,Brasov,-10,0.26,49,E,2023-03-07
8,Galati,5,0.31,80,NE,2023-03-15
8,Constanta,1,0.22,46,NE,2023-03-21
5,Iasi,15,0.66,49,S,2023-03-05
9,Bucuresti,11,0.69,54,N,2023-03-11
2,Constanta,13,0.96,110,SE,2023-03-25
4,Iasi,-5,0.46,1,V,2023-03-22
5,Cluj-Napoca,25,0.1,28,N,2023-03-26
2,Suceava,34,0.41,129,NV,2023-03-20
9,Bucuresti,13,0.29,38,N,2023-03-18
10,Suceava,16,0.79,57,SV,2023-03-22
6,Suceava,6,0.21,102,SV,2023-03-24
2,Braila,-14,1.0,51,N,2023-03-20
2,Bucuresti,34,1.0,33,NV,2023-03-20
8,Galati,31,0.27,124,S,2023-03-08
5,Cluj-Napoca,-12,0.99,70,N,2023-03-16
1,Cluj-Napoca,13,0.29,139,SV,2023-03-03
9,Constanta,-2,0.8,82,NV,2023-03-09
1,Constanta,19,0.11,48,N,2023-03-13
9,Brasov,-17,0.01,72,NE,2023-03-05
2,Suceava,-15,1.0,117,NV,2023-03-06
9,Brasov,19,0.67,74,NV,2023-03-29
8,Galati,15,0.04,7,NV,2023-03-20
8,Iasi,4,0.38,49,S,2023-03-25
6,Galati,-7,0.44,84,N,2023-03-27
3,Iasi,34,0.53,55,SV,2023-03-05
7,Suceava,6,0.24,97,E,2023-03-06
3,Bucuresti,-10,0.07,136,S,2023-03-14
8,Constanta,0,0.74,5,V,2023-03-24
9,Braila,-10,0.01,74,SV,2023-03-09
5,Suceava,21,0.52,39,SV,2023-03-03
10,Brasov,-8,0.69,21,V,2023-03-23
1,Braila,3,0.59,17,SE,2023-03-01
7,Suceava,8,0.85,122,E,2023-03-11
10,Cluj-Napoca,-10,0.76,98,SV,2023-03-19
7,Constanta,-20,0.52,81,N,2023-03-11
5,Suceava,12,0.45,94,S,2023-03-08
1,Bucuresti,-8,0.9,127,NE,2023-03-04
6,Bucuresti,-5,0.62,30,V,2023-03-17
2,Bucuresti,40,0.43,138,S,2023-03-15
9,Braila,16,0.79,126,SV,2023-03-02
3,Brasov,31,0.73,112,NV,2023-03-15
3,Constanta,6,0.67,52,SV,2023-03-10
8,Galati,10,0.75,123,SV,2023-03-19
6,Brasov,16,0.53,18,S,2023-03-22
10,Bucuresti,33,0.45,22,V,2023-03-25
3,Constanta,-13,0.43,30,S,2023-03-01
3,Galati,-7,0.33,105,SV,2023-03-01
2,Cluj-Napoca,22,0.21,35,SE,2023-03-03
3,Galati,-7,0.27,47,S,2023-03-10
7,Suceava,-12,0.09,30,E,2023-03-23
8,Suceava,-12,0.89,123,E,2023-03-21
4,Constanta,-19,0.78,86,NE,2023-03-27
5,Suceava,11,0.48,82,SE,2023-03-14
4,Cluj-Napoca,-7,0.15,116,S,2023-03-23
2,Brasov,27,0.24,57,E,2023-03-05
6,Cluj-Napoca,-7,0.76,85,E,2023-03-29
8,Suceava,5,0.51,108,N,2023-03-18
1,Galati,33,0.02,20,E,2023-03-08
5,Bucuresti,-4,0.63,74,E,2023-03-08
9,Constanta,28,0.68,77,E,2023-03-11
2,Constanta,-9,0.16,107,SE,2023-03-11
3,Galati,-2,0.85,10,N,2023-03-24
8,Constanta,40,0.18,73,SV,2023-03-05
1,Brasov,29,0.26,140,SE,2023-03-22
1,Suceava,34,0.21,73,S,2023-03-04
8,Braila,5,0.25,26,SE,2023-03-07
4,Braila,22,0.57,106,S,2023-03-10
4,Cluj-Napoca,2,0.69,108,S,2023-03-22
4,Galati,10,0.03,11,V,2023-03-14
9,Suceava,16,0.33,19,SE,2023-03-28
9,Constanta,19,0.64,80,NE,2023-03-27
4,Constanta,14,0.34,53,E,2023-03-08
6,Constanta,3,0.31,89,NE,2023-03-19
9,Brasov,-15,0.91,11,V,2023-03-27
2,Suceava,-12,0.68,118,V,2023-03-06
4,Bucuresti,40,0.36,131,E,2023-03-19
10,Iasi,9,0.1,82,NE,2023-03-02
6,Cluj-Napoca,-20,0.29,3,SE,2023-03-05
4,Cluj-Napoca,4,0.16,133,NE,2023-03-02
2,Iasi,-10,0.96,116,S,2023-03-12
9,Galati,-9,0.77,90,S,2023-03-26
3,Brasov,-14,0.84,71,SV,2023-03-06
1,Cluj-Napoca,6,0.37,86,V,2023-03-03
5,Braila,19,0.35,94,SV,2023-03-07
9,Suceava,19,0.78,126,V,2023-03-08
9,Brasov,-13,0.59,101,NE,2023-03-28
8,Brasov,-18,0.95,107,N,2023-03-01
10,Cluj-Napoca,23,0.25,83,SE,2023-03-01
6,Iasi,-16,0.22,98,NV,2023-03-04
8,Bucuresti,5,0.28,20,NV,2023-03-29
9,Braila,-20,0.56,55,SE,2023-03-23
4,Iasi,3,0.19,130,S,2023-03-25
2,Galati,27,0.81,52,E,2023-03-14
10,Cluj-Napoca,20,0.72,39,SE,2023-03-22
6,Suceava,-11,0.57,59,NV,2023-03-24
7,Cluj-Napoca,-5,0.3,20,S,2023-03-27
2,Galati,-5,0.79,72,SV,2023-03-15
5,Constanta,21,0.73,48,E,2023-03-27
5,Braila,30,0.68,105,NV,2023-03-19
8,Galati,28,0.87,33,SV,2023-03-20
8,Suceava,38,0.55,97,E,2023-03-07
10,Suceava,28,0.73,119,SV,2023-03-29
7,Bucuresti,-11,0.96,140,NE,2023-03-26
5,Brasov,35,0.96,43,NV,2023-03-14
3,Brasov,16,0.5,76,NE,2023-03-03
9,Constanta,-18,0.93,11,V,2023-03-18
4,Iasi,28,0.64,50,SV,2023-03-17
10,Bucuresti,30,0.56,40,N,2023-03-16
3,Bucuresti,34,0.98,26,S,2023-03-11
1,Constanta,29,0.78,88,SE,2023-03-18
3,Iasi,5,0.8,39,N,2023-03-29
8,Suceava,2,0.66,52,NE,2023-03-09
8,Iasi,13,0.77,69,SV,2023-03-07
4,Cluj-Napoca,16,0.89,128,E,2023-03-05
6,Galati,19,0.45,15,N,2023-03-04
8,Bucuresti,25,0.47,10,S,2023-03-17
2,Constanta,6,0.21,9,SV,2023-03-04
7,Bucuresti,15,0.52,83,S,2023-03-28
9,Iasi,27,0.82,69,E,2023-03-30
8,Brasov,26,0.35,138,NE,2023-03-05
9,Constanta,-2,0.88,87,S,2023-03-12
7,Suceava,40,0.75,105,N,2023-03-06
2,Suceava,-6,0.59,33,V,2023-03-03
4,Cluj-Napoca,15,0.34,61,E,2023-03-01
4,Brasov,39,0.21,130,S,2023-03-03
5,Iasi,22,0.33,65,NV,2023-03-16
8,Cluj-Napoca,-8,0.4,123,NV,2023-03-10
4,Braila,17,0.91,98,SV,2023-03-20
10,Cluj-Napoca,3,0.84,132,NE,2023-03-30
5,Suceava,-11,0.81,31,E,2023-03-03
2,Brasov,21,0.33,27,SV,2023-03-22
7,Constanta,-4,0.04,117,SV,2023-03-20
2,Bucuresti,25,0.38,116,E,2023-03-10
1,Bucuresti,-8,0.13,138,NV,2023-03-19
9,Iasi,5,0.0,121,E,2023-03-22
2,Galati,-20,1.0,59,N,2023-03-22
3,Iasi,15,0.18,67,E,2023-03-02
7,Iasi,32,0.08,85,NV,2023-03-23
2,Bucuresti,2,1.0,61,V,2023-03-17
1,Brasov,-2,0.06,36,NE,2023-03-07
5,Braila,-2,0.5,75,SV,2023-03-11
4,Constanta,32,0.92,52,NV,2023-03-25
4,Braila,-17,0.96,89,SE,2023-03-26
1,Constanta,28,0.28,53,NE,2023-03-01
3,Bucuresti,-11,0.43,42,V,2023-03-08
5,Suceava,15,0.04,129,E,2023-03-03
6,Galati,-4,0.83,6,N,2023-03-14
8,Iasi,11,0.56,86,NV,2023-03-29
1,Braila,10,0.75,28,E,2023-03-17
9,Braila,-7,0.48,114,SV,2023-03-02
9,Suceava,28,0.18,98,V,2023-03-27
9,Galati,16,0.92,72,N,2023-03-15
5,Brasov,-19,0.7,125,V,2023-03-24
1,Iasi,24,0.99,132,S,2023-03-14
1,Constanta,33,0.74,75,S,2023-03-26
7,Suceava,14,0.77,18,SE,2023-03-26
5,Cluj-Napoca,-8,0.97,50,N,2023-03-19
3,Brasov,25,0.2,131,V,2023-03-12
1,Bucuresti,-9,0.89,98,NE,2023-03-25
5,Brasov,-9,0.73,119,E,2023-03-06
1,Galati,20,0.1,70,NV,2023-03-30
1,Galati,36,0.9,88,V,2023-03-09
1,Braila,-20,0.95,24,SV,2023-03-06
10,Bucuresti,18,0.55,124,S,2023-03-20
5,Iasi,10,0.65,54,NE,2023-03-20
4,Galati,26,0.18,1,NE,2023-03-19
8,Brasov,-19,0.95,88,NV,2023-03-05
4,Suceava,5,0.04,16,N,2023-03-05
8,Braila,16,0.59,23,SE,2023-03-04
6,Braila,-14,0.13,21,SE,2023-03-06
6,Braila,8,0.64,29,SE,2023-03-16
4,Constanta,7,0.47,103,E,2023-03-20
6,Bucuresti,-7,0.46,10,V,2023-03-06
9,Brasov,11,0.33,124,NE,2023-03-12
2,Braila,-1,0.25,115,NE,2023-03-22
3,Braila,14,0.37,22,S,2023-03-27
6,Suceava,24,0.76,88,SE,2023-03-04
5,Braila,34,0.64,36,S,2023-03-03
1,Cluj-Napoca,-9,0.22,57,SE,2023-03-29
8,Constanta,31,0.93,50,E,2023-03-08
5,Cluj-Napoca,11,0.46,66,NV,2023-03-15
10,Bucuresti,-4,0.86,7,V,2023-03-17
3,Suceava,-17,0.81,85,NV,2023-03-23
2,Suceava,8,0.22,121,S,2023-03-14
8,Braila,23,0.41,7,NE,2023-03-04
8,Bucuresti,-4,0.51,61,SE,2023-03-26
5,Braila,-20,0.07,29,N,2023-03-17
6,Iasi,-5,0.69,61,NE,2023-03-25
6,Braila,-18,0.41,9,V,2023-03-14
1,Bucuresti,21,0.2,52,NE,2023-03-11
4,Constanta,13,0.76,81,E,2023-03-30
3,Constanta,34,0.73,8,E,2023-03-09
10,Bucuresti,-1,0.96,133,E,2023-03-09
10,Galati,-18,0.59,37,S,2023-03-27
2,Suceava,-19,0.42,5,V,2023-03-10
4,Iasi,40,0.7,129,V,2023-03-13
10,Cluj-Napoca,21,0.93,46,E,2023-03-21
6,Iasi,-19,0.17,69,NE,2023-03-23
5,Suceava,27,0.91,8,N,2023-03-23
7,Braila,5,0.27,82,NV,2023-03-10
8,Iasi,17,0.64,90,E,2023-03-06
2,Constanta,-9,0.9,32,E,2023-03-22
8,Bucuresti,16,0.64,19,SE,2023-03-22
2,Brasov,0,0.36,24,E,2023-03-06
8,Brasov,8,0.2,40,E,2023-03-05
4,Cluj-Napoca,32,0.13,72,N,2023-03-20
5,Galati,3,0.46,7,E,2023-03-25
2,Iasi,23,0.43,140,SE,2023-03-19
3,Constanta,1,0.46,61,SV,2023-03-17
10,Brasov,40,0.99,76,NV,2023-03-12
7,Bucuresti,5,0.58,119,NE,2023-03-30
3,Iasi,27,0.35,23,V,2023-03-29
2,Braila,7,0.67,104,SE,2023-03-10
7,Constanta,20,0.84,52,E,2023-03-23
9,Constanta,-14,0.42,54,SE,2023-03-06
6,Galati,40,0.38,44,SV,2023-03-15
6,Suceava,8,0.31,116,NE,2023-03-10
1,Constanta,38,0.58,114,NV,2023-03-20
5,Iasi,-13,0.65,125,NE,2023-03-23
10,Brasov,4,0.47,121,SE,2023-03-18
10,Cluj-Napoca,-1,0.78,10,N,2023-03-26
3,Cluj-Napoca,40,0.96,123,E,2023-03-13
10,Suceava,-10,0.83,126,NE,2023-03-20
5,Galati,-16,0.36,140,N,2023-03-11
6,Galati,36,0.28,140,V,2023-03-20
1,Iasi,6,0.62,72,SE,2023-03-18
1,Braila,38,0.87,50,N,2023-03-12
10,Brasov,38,0.11,3,NV,2023-03-15
1,Iasi,24,0.92,129,V,2023-03-30
9,Galati,23,0.02,6,SV,2023-03-28
7,Iasi,5,0.29,5,N,2023-03-14
6,Galati,-17,0.48,88,SE,2023-03-21
6,Suceava,11,0.84,97,NV,2023-03-04
10,Bucuresti,-2,1.0,61,V,2023-03-01
4,Galati,27,0.43,79,E,2023-03-15
6,Iasi,-5,0.77,50,SE,2023-03-11
4,Iasi,-9,0.16,128,V,2023-03-22
8,Cluj-Napoca,33,0.54,43,NE,2023-03-08
9,Braila,29,0.19,61,NV,2023-03-22
1,Brasov,20,0.96,97,SV,2023-03-09
2,Suceava,-14,0.8,52,SE,2023-03-12
3,Galati,-3,0.19,41,NV,2023-03-28
2,Galati,-11,0.81,115,V,2023-03-03
7,Cluj-Napoca,10,0.22,29,NV,2023-03-03
2,Bucuresti,40,0.11,87,S,2023-03-08
8,Cluj-Napoca,5,0.81,62,SE,2023-03-30
8,Galati,40,0.71,74,SE,2023-03-09
3,Cluj-Napoca,-14,0.75,7,V,2023-03-02
10,Bucuresti,0,0.58,74,N,2023-03-22
1,Suceava,-11,0.38,41,NV,2023-03-05
2,Iasi,-19,0.79,110,N,2023-03-28
10,Iasi,-15,0.27,29,N,2023-03-17
4,Suceava,23,0.83,20,S,2023-03-18
10,Constanta,22,0.34,65,SV,2023-03-05
2,Braila,-19,0.09,90,S,2023-03-30
5,Iasi,27,0.59,90,E,2023-03-13
9,Bucuresti,-12,0.68,45,N,2023-03-03
2,Braila,-5,0.61,17,SV,2023-03-01
7,Galati,9,0.62,92,SV,2023-03-16
10,Bucuresti,37,0.18,40,S,2023-03-19
5,Iasi,14,0.81,5,S,2023-03-02
2,Suceava,-12,0.74,5,V,2023-03-15
9,Galati,4,0.1,114,V,2023-03-02
9,Cluj-Napoca,20,0.42,95,NV,2023-03-18
10,Iasi,-6,0.1,138,NV,2023-03-21
10,Braila,-20,0.99,99,S,2023-03-18
9,Bucuresti,-4,0.17,14,V,2023-03-13
5,Galati,21,0.81,124,V,2023-03-13
3,Constanta,23,0.16,76,E,2023-03-03
7,Bucuresti,-3,0.46,58,E,2023-03-30
9,Cluj-Napoca,19,0.26,125,E,2023-03-17
4,Cluj-Napoca,2,0.57,69,V,2023-03-13
2,Cluj-Napoca,28,0.31,57,SV,2023-03-22
2,Constanta,31,0.91,28,E,2023-03-29
1,Cluj-Napoca,15,0.19,84,S,2023-03-27
8,Iasi,-12,0.84,43,E,2023-03-01
6,Suceava,-6,0.64,48,SE,2023-03-17
5,Iasi,-20,0.96,48,NV,2023-03-28
7,Cluj-Napoca,24,0.76,91,S,2023-03-05
5,Cluj-Napoca,-10,0.69,77,E,2023-03-22
8,Galati,27,0.91,73,V,2023-03-28
10,Brasov,-9,0.98,48,SV,2023-03-04
4,Suceava,15,0.12,130,SE,2023-03-08
1,Iasi,26,0.46,137,N,2023-03-06
2,Bucuresti,-6,0.73,28,SV,2023-03-10
8,Galati,0,0.14,118,NE,2023-03-12
1,Brasov,5,0.02,59,SV,2023-03-02
10,Braila,-16,0.65,107,N,2023-03-29
10,Galati,35,0.77,71,N,2023-03-10
4,Cluj-Napoca,26,0.97,106,E,2023-03-22
10,Galati,20,0.08,8,V,2023-03-17
2,Bucuresti,-6,0.18,100,V,2023-03-13
5,Cluj-Napoca,8,0.28,100,N,2023-03-14
5,Bucuresti,13,0.27,90,NE,2023-03-04
1,Cluj-Napoca,22,0.22,30,SE,2023-03-17
9,Suceava,25,0.64,20,NE,2023-03-24
8,Constanta,27,0.36,128,NV,2023-03-30
7,Brasov,34,0.02,89,E,2023-03-28
9,Iasi,24,0.62,33,E,2023-03-26
2,Bucuresti,0,0.7,41,V,2023-03-09
9,Iasi,-18,0.18,28,S,2023-03-06
4,Suceava,33,0.27,91,NV,2023-03-15
4,Galati,35,0.7,25,S,2023-03-28
6,Brasov,-18,0.54,9,S,2023-03-26
8,Iasi,14,0.78,95,NE,2023-03-01
6,Bucuresti,35,0.44,49,V,2023-03-11
10,Suceava,22,0.61,77,NE,2023-03-16
10,Bucuresti,9,0.02,32,SE,2023-03-13
7,Suceava,21,0.2,16,E,2023-03-26
9,Brasov,-15,0.88,104,NE,2023-03-22
4,Braila,-19,1.0,107,S,2023-03-06
9,Brasov,40,0.43,68,E,2023-03-21
10,Braila,29,0.87,101,S,2023-03-09
5,Braila,0,0.47,26,S,2023-03-10
6,Cluj-Napoca,26,0.13,61,SE,2023-03-08
6,Bucuresti,-4,0.81,125,S,2023-03-02
4,Suceava,-6,0.52,7,V,2023-03-01
10,Brasov,2,0.75,61,NV,2023-03-04
4,Cluj-Napoca,15,0.46,63,SV,2023-03-16
1,Constanta,28,0.97,25,N,2023-03-02
5,Braila,0,0.96,105,E,2023-03-01
2,Braila,25,0.95,4,V,2023-03-17
3,Brasov,-2,0.89,75,SV,2023-03-08
7,Brasov,29,0.97,18,SV,2023-03-14
2,Braila,23,0.07,24,E,2023-03-30
7,Bucuresti,33,0.19,57,NV,2023-03-04
3,Constanta,15,0.15,95,S,2023-03-11
5,Braila,16,0.33,21,E,2023-03-29
9,Constanta,-14,0.95,134,SV,2023-03-28
2,Galati,-14,0.72,138,N,2023-03-01
6,Suceava,34,0.26,52,S,2023-03-05
3,Brasov,-10,0.41,72,N,2023-03-04
8,Braila,3,0.57,89,SV,2023-03-18
6,Brasov,37,0.86,116,SV,2023-03-04
8,Bucuresti,-8,0.45,38,E,2023-03-14
2,Constanta,9,0.89,3,V,2023-03-20
3,Suceava,-2,0.54,10,E,2023-03-15
10,Suceava,38,0.16,34,SE,2023-03-11
8,Cluj-Napoca,34,0.88,111,V,2023-03-06
7,Iasi,-12,0.38,93,V,2023-03-20
2,Suceava,40,0.94,132,NV,2023-03-17
6,Iasi,-20,0.93,19,N,2023-03-25
1,Bucuresti,8,0.14,85,NE,2023-03-19
3,Galati,15,0.93,67,SV,2023-03-28
7,Braila,8,0.82,4,E,2023-03-24
1,Braila,34,0.34,109,S,2023-03-04
2,Constanta,-6,0.01,133,NE,2023-03-18
5,Cluj-Napoca,7,0.4,122,S,2023-03-29
1,Galati,38,0.6,77,S,2023-03-07
2,Cluj-Napoca,17,0.7,132,E,2023-03-19
10,Cluj-Napoca,5,0.34,59,E,2023-03-04
9,Cluj-Napoca,28,0.58,88,SV,2023-03-05
10,Braila,7,0.83,106,N,2023-03-22
4,Bucuresti,21,0.76,45,V,2023-03-18
7,Brasov,15,0.27,98,V,2023-03-18
5,Galati,-16,0.31,64,SE,2023-03-24
5,Brasov,27,0.53,36,SV,2023-03-11
6,Braila,31,0.55,119,V,2023-03-26
5,Galati,31,0.84,115,S,2023-03-05
6,Braila,25,0.89,106,N,2023-03-12
2,Galati,-3,0.16,33,NV,2023-03-26
10,Constanta,-10,0.91,138,SE,2023-03-22
2,Iasi,22,0.35,74,SV,2023-03-05
7,Braila,0,0.62,116,N,2023-03-05
2,Suceava,-11,0.45,74,NE,2023-03-05
5,Constanta,27,0.06,40,SE,2023-03-05
6,Cluj-Napoca,8,0.8,80,N,2023-03-26
9,Braila,29,0.45,104,V,2023-03-11
9,Constanta,31,0.26,63,N,2023-03-01
7,Bucuresti,9,0.23,92,N,2023-03-24
9,Iasi,-18,0.22,123,S,2023-03-23
6,Iasi,27,0.36,130,NE,2023-03-30
8,Iasi,20,0.43,14,V,2023-03-26
2,Constanta,27,0.3,59,SE,2023-03-07
7,Suceava,14,0.04,93,SE,2023-03-29
6,Braila,-1,0.12,134,S,2023-03-09
4,Iasi,-5,0.63,11,NE,2023-03-08
1,Cluj-Napoca,0,0.2,24,V,2023-03-16
3,Suceava,20,0.23,99,NV,2023-03-27
3,Iasi,30,0.17,14,NV,2023-03-22
10,Cluj-Napoca,-8,0.16,29,N,2023-03-03
4,Suceava,5,0.44,47,NE,2023-03-01
9,Suceava,5,0.98,81,NE,2023-03-11
6,Galati,35,0.8,44,SV,2023-03-02
3,Cluj-Napoca,3,0.44,49,SE,2023-03-26
5,Braila,30,0.87,127,SV,2023-03-11
6,Braila,35,0.52,88,NV,2023-03-13
3,Iasi,40,0.63,60,N,2023-03-09
3,Constanta,4,0.24,97,NE,2023-03-06
7,Braila,31,0.79,80,E,2023-03-23
4,Constanta,33,0.31,111,SE,2023-03-17
10,Braila,20,0.76,135,S,2023-03-01
